"idx","location","qn","case_num","case_array","feedback","qn_move"
"53393","sw01_u04_p11","15","2","kitchen out/kitchen","/%fb_correctfeedback_1/","16"
"53394","sw01_u04_p11","16","0","incorrect/try again"," ","-7777"
"53395","sw01_u04_p11","16","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","21"
"53396","sw01_u04_p11","16","2","sink out/sink","/%fb_correctfeedback_1/","17"
"53397","sw01_u04_p11","17","0","incorrect/try again"," ","-7777"
"53398","sw01_u04_p11","17","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","21"
"53399","sw01_u04_p11","17","2","living room out/living room","/%fb_correct_aec_fb1/","22"
"53400","sw01_u04_p11","18","0","incorrect/try again"," ","-7777"
"53401","sw01_u04_p11","18","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","19"
"53402","sw01_u04_p11","18","2","rug out/rug","/%fb_correctfeedback_1/","15"
"53403","sw01_u04_p11","19","0","incorrect/try again"," ","-7777"
"53404","sw01_u04_p11","19","1","incorrect/no more chance","/%fb_incorrectfeedback_1/","20"
"53405","sw01_u04_p11","19","2","yard out/yard","/%fb_correctfeedback_1/","16"
"53406","sw01_u04_p11","20","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53407","sw01_u04_p11","20","1","incorrect/no more chance"," ","21"
"53408","sw01_u04_p11","20","2","sure/yes/yes I do/yes I am/yes I would/yes please/yeap/yup/ok/great/that sounds great/yep","/%sound_common-071-then-lets-begin/","21"
"53409","sw01_u04_p11","20","3","no/no I don't/no I am not/no I wouldn't/nope/nah/I don't want to/no thanks","/%sound_common-074-then-lets-listen-to-the-ex-again/","-7777"
"53410","sw01_u04_p11","21","0","incorrect/try again"," ","-7777"
"53411","sw01_u04_p11","21","1","incorrect/no more chance","/%fb_incorrect_aec_fb1/","22"
"53412","sw01_u04_p11","21","2","closet out/closet","/%fb_correct_aec_fb1/","22"
"53413","sw01_u04_p11","22","0","incorrect/try again","/%sound_common-073-please-answer-yes-or-no/","-7777"
"53414","sw01_u04_p11","22","1","incorrect/no more chance"," ","23"
