idx,word,name
23803,pet store,place
23804,pharmacy,place
23805,playground,place
23806,post office,place
23807,restaurant,place
23808,salon,place
23809,saloon,place
23810,school,place
23811,shop,place
23812,stadium,place
23813,stationery store,place
23814,store,place
23815,tailor,place
23816,theater,place
23817,toy store,place
23818,train station,place
23819,university,place
23820,video store,place
23821,swimming pool,place
23822,work,place
23823,company,place
23824,living room,place
23825,bedroom,place
23826,kitchen,place
23827,bathroom,place
23828,toilet,place
23829,room,place
23830,police station,place
23831,park,place
23832,pool,place
23833,zoo,place
23834,bookstore,place
23835,supermarket,place
23836,airport,place_2
23837,amusement park,place_2
23838,art gallery,place_2
23839,aquarium,place_2
23840,auditorium,place_2
23841,bakery,place_2
23842,bank,place_2
23843,bar,place_2
23844,beauty salon,place_2
23845,bus station,place_2
23846,cafeteria,place_2
23847,cafe,place_2
23848,car wash,place_2
23849,cinema,place_2
23850,clinic,place_2
23851,coffee shop,place_2
23852,college,place_2
23853,convenience store,place_2
23854,copy shop,place_2
23855,department store,place_2
23856,dentist's office,place_2
23857,doctor's office,place_2
23858,fast food restaurant,place_2
23859,fire station,place_2
23860,florist,place_2
23861,food court,place_2
23862,gallery,place_2
23863,gas station,place_2
23864,grocery store,place_2
23865,gymnasium,place_2
23866,gym,place_2
23867,house,place_2
23868,home,place_2
23869,hotel,place_2
23870,library,place_2
23871,mall,place_2
23872,market,place_2
23873,movie theater,place_2
23874,museum,place_2
23875,nursery,place_2
23876,parking garage,place_2
23877,pet store,place_2
23878,pharmacy,place_2
23879,playground,place_2
23880,post office,place_2
23881,restaurant,place_2
23882,salon,place_2
23883,saloon,place_2
23884,school,place_2
23885,shop,place_2
23886,stadium,place_2
23887,stationery store,place_2
23888,store,place_2
23889,tailor,place_2
23890,theater,place_2
23891,toy store,place_2
23892,train station,place_2
23893,university,place_2
23894,video store,place_2
23895,swimming pool,place_2
23896,work,place_2
23897,company,place_2
23898,living room,place_2
23899,bedroom,place_2
23900,kitchen,place_2
23901,bathroom,place_2
23902,toilet,place_2
23903,room,place_2
23904,14,number_2
23905,15,number_2
23906,16,number_2
23907,17,number_2
23908,18,number_2
23909,19,number_2
23910,20,number_2
23911,21,number_2
23912,22,number_2
23913,23,number_2
23914,24,number_2
23915,25,number_2
23916,26,number_2
23917,27,number_2
23918,28,number_2
23919,29,number_2
23920,30,number_2
23921,31,number_2
23922,32,number_2
23923,33,number_2
23924,34,number_2
23925,35,number_2
23926,36,number_2
23927,37,number_2
23928,38,number_2
23929,39,number_2
23930,40,number_2
23931,41,number_2
23932,42,number_2
23933,43,number_2
23934,44,number_2
23935,45,number_2
23936,46,number_2
23937,47,number_2
23938,48,number_2
23939,49,number_2
23940,50,number_2
23941,51,number_2
23942,52,number_2
23943,53,number_2
23944,54,number_2
23945,55,number_2
23946,56,number_2
23947,57,number_2
23948,58,number_2
23949,59,number_2
23950,60,number_2
23951,61,number_2
23952,62,number_2
23953,63,number_2
23954,64,number_2
23955,65,number_2
23956,66,number_2
23957,67,number_2
23958,68,number_2
23959,69,number_2
23960,70,number_2
23961,71,number_2
23962,72,number_2
23963,73,number_2
23964,74,number_2
23965,75,number_2
23966,76,number_2
23967,77,number_2
23968,78,number_2
23969,79,number_2
23970,80,number_2
23971,81,number_2
23972,82,number_2
23973,83,number_2
23974,84,number_2
23975,85,number_2
23976,86,number_2
23977,87,number_2
23978,88,number_2
23979,89,number_2
23980,90,number_2
23981,91,number_2
23982,92,number_2
23983,93,number_2
23984,94,number_2
23985,95,number_2
23986,96,number_2
23987,97,number_2
23988,98,number_2
23989,99,number_2
23990,100,number_2
23991,grandfather,unit2_word_1
23992,grandmother,unit2_word_1
23993,father,unit2_word_1
23994,mother,unit2_word_1
23995,brother,unit2_word_1
23996,sister,unit2_word_1
23997,aunt,unit2_word_1
23998,uncle,unit2_word_1
23999,pool,unit2_word_2
24000,park,unit2_word_2
24001,police station,unit2_word_2
24002,zoo,unit2_word_2
24003,supermarket,unit2_word_2
24004,bookstore,unit2_word_2
24005,TVs,house_object
24006,TV,house_object
24007,towels,house_object
24008,towel,house_object
24009,televisions,house_object
24010,television,house_object
24011,telephones,house_object
24012,telephone,house_object
24013,tables,house_object
24014,table,house_object
24015,sofas,house_object
24016,sofa,house_object
24017,sinks,house_object
24018,sink,house_object
24019,shower,house_object
24020,rugs,house_object
24021,rug,house_object
24022,pianos,house_object
24023,piano,house_object
24024,ovens,house_object
24025,oven,house_object
24026,mirrors,house_object
24027,mirror,house_object
24028,lamps,house_object
24029,lamp,house_object
24030,desks,house_object
24031,desk,house_object
24032,cushions,house_object
24033,cushion,house_object
24034,curtains,house_object
24035,computers,house_object
24036,computer,house_object
24037,closets,house_object
24038,closet,house_object
24039,clocks,house_object
24040,clock,house_object
24041,chairs,house_object
24042,chair,house_object
24043,cars,house_object
24044,carpets,house_object
24045,carpet,house_object
24046,car,house_object
24047,boxes,house_object
24048,box,house_object
24049,beds,house_object
24050,bed,house_object
24051,bathtubs,house_object
24052,bathtub,house_object
24053,She has,sentence_2
24054,I have,sentence_2
24055,She is,sentence_2
24056,she's,sentence_2
24057,My mother has,sentence_2
24058,My mother is,sentence_2
24059,I am,sentence_2
24060,I'm,sentence_2
24061,He has,sentence_2
24062,He is,sentence_2
24063,he's,sentence_2
24064,My father has,sentence_2
24065,My father is,sentence_2
24066,My best friend has,sentence_2
24067,My best friend is,sentence_2
24068,tall,adj
24069,short,adj
24070,thin,adj
24071,heavy,adj
24072,pretty,adj
24073,good looking,adj
24074,ugly,adj
24075,fat,adj
24076,average,adj
24077,skinny,adj
24078,muscular,adj
24079,attractive,adj
24080,handsome,adj
24081,beautiful,adj
24082,incredible,adj
24083,amazing,adj
24084,big,adj
24085,small,adj
24086,gorgeous,adj
24087,slim,adj
24088,adorable,adj
24089,fair,adj
24090,confident,adj
24091,precious,adj
24092,perfect,adj
24093,plain,adj
24094,glamorous,adj
24095,elegant,adj
24096,cute,adj
24097,tiny,adj
24098,large ,adj
24099,nice,adj
24100,blond hair,char
24101,dark hair,char
24102,blue eyes,char
24103,a round face,char
24104,straight hair,char
24105,curly hair,char
24106,red hair,char
24107,wavy hair,char
24108,grey hair,char
24109,green hair,char
24110,purple hair,char
24111,blue hair,char
24112,pink hair,char
24113,blue eyes,char
24114,brown eyes,char
24115,green eyes,char
24116,a narrow face,char
24117,a thin face,char
24118,an oval face,char
24119,short hair,char
24120,long hair,char
24121,medium hair,char
24122,shoulder-length hair,char
24123,waist-length hair,char
24124,pretty,adj2
24125,good looking,adj2
24126,ugly,adj2
24127,fat,adj2
24128,average,adj2
24129,skinny,adj2
24130,muscular,adj2
24131,attractive,adj2
24132,handsome,adj2
24133,beautiful,adj2
24134,incredible,adj2
24135,amazing,adj2
24136,big,adj2
24137,small,adj2
24138,gorgeous,adj2
24139,slim,adj2
24140,adorable,adj2
24141,fair,adj2
24142,confident,adj2
24143,precious,adj2
24144,perfect,adj2
24145,plain,adj2
24146,glamorous,adj2
24147,elegant,adj2
24148,cute,adj2
24149,tiny,adj2
24150,large ,adj2
24151,nice,adj2
24152,a round face,char2
24153,a narrow face,char2
24154,a thin face,char2
24155,an oval face,char2
24156,blond,color
24157,red,color
24158,orange,color
24159,yellow,color
24160,yellow green,color
24161,green,color
24162,sky blue,color
24163,light blue,color
24164,blue,color
24165,dark blue,color
24166,dark,color
24167,brunette,color
24168,purple,color
24169,violet,color
24170,white,color
24171,black,color
24172,brown,color
24173,silver,color
24174,gold,color
24175,rainbow,color
24176,curly,style
24177,short,style
24178,long,style
24179,straight,style
24180,wavy,style
24181,spiky,style
24182,pen,unit3_word_1
24183,pencil,unit3_word_1
24184,pencil case,unit3_word_2
24185,glue stick,unit3_word_1
24186,paper clip,unit3_word_1
24187,marker,unit3_word_1
24188,ruler,unit3_word_1
24189,eraser,unit3_word_2
24190,dictionary,unit3_word_2
24191,notebook,unit3_word_2
24192,scissors,unit3_word_2
24193,textbook,unit3_word_2
24194,pens,unit3_word_1
24195,pencils,unit3_word_1
24196,pencil cases,unit3_word_2
24197,glue sticks,unit3_word_1
24198,paper clips,unit3_word_1
24199,markers,unit3_word_1
24200,rulers,unit3_word_1
24201,erasers,unit3_word_2
24202,dictionaries,unit3_word_2
24203,notebooks,unit3_word_2
24204,textbooks,unit3_word_2
24205,tissues,item
24206,textbooks,item
24207,textbook,item
24208,tape,item
24209,sticky notes,item
24210,sticky note,item
24211,staplers,item
24212,stapler,item
